,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,updated_github_id,license,npm_id,npm_url,npm_monthly_downloads,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
166,jupyter-tensorboard,True,Start Tensorboard in Jupyter Notebook.,https://github.com/lspvic/jupyter_tensorboard,,jupyter-extensions,15,jupyter-tensorboard,lspvic/jupyter_tensorboard,,,https://github.com/lspvic/jupyter_tensorboard,2017-08-22 08:05:13.000,2022-02-07 02:58:37.000000,2020-02-16 06:42:48,69.0,39.0,29.0,450.0,69.0,,,,4488.0,,,,4.0,https://pypi.org/project/jupyter-tensorboard,4488.0,,,,,,,,3.0,,MIT,,,,,,,,,,
167,IElixir,True,Jupyter's kernel for Elixir programming language.,https://github.com/pprzetacznik/IElixir,,kernels,15,,pprzetacznik/IElixir,,pprzetacznik/ielixir,https://github.com/pprzetacznik/IElixir,2015-07-06 11:39:08.000,2021-12-03 09:17:20.000000,2021-03-20 17:27:38,38.0,10.0,20.0,338.0,282.0,2020-11-15 17:48:03,0.9.21,,3.0,8.0,,,19.0,,,,,,https://hub.docker.com/r/pprzetacznik/ielixir,2021-03-20 17:48:12.317861,1.0,315.0,3.0,,Apache-2.0,,,,,,,,,ielixir,
168,blackcellmagic,True,IPython magic command to format python code in cell using..,https://github.com/csurfer/blackcellmagic,,magic,15,blackcellmagic,csurfer/blackcellmagic,,,https://github.com/csurfer/blackcellmagic,2018-04-25 14:27:26.000,2021-09-18 19:09:47.000000,2021-09-18 19:09:46,9.0,3.0,5.0,287.0,18.0,,,,4617.0,,133.0,133.0,3.0,https://pypi.org/project/blackcellmagic,4617.0,,,,,,,,2.0,,MIT,,,,,,,,,,
169,JupyterLab Tensorboard,True,Tensorboard extension for jupyterlab.,https://github.com/chaoleili/jupyterlab_tensorboard,,lab-extensions,15,,chaoleili/jupyterlab_tensorboard,,,https://github.com/chaoleili/jupyterlab_tensorboard,2018-08-14 12:36:26.000,2022-01-22 02:42:37.000000,2021-02-24 06:31:50,30.0,16.0,10.0,285.0,31.0,,,,5874.0,,2.0,2.0,6.0,,,,,,,,,,3.0,,MIT,jupyterlab_tensorboard,https://www.npmjs.com/package/jupyterlab_tensorboard,5874.0,,,,,,,
170,HTTP-over-WebSocket,True,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,15,jupyter_http_over_ws,googlecolab/jupyter_http_over_ws,,,https://github.com/googlecolab/jupyter_http_over_ws,2018-03-26 22:52:45.000,2021-08-30 21:48:26.000000,2021-08-30 21:48:24,36.0,20.0,7.0,211.0,29.0,,,,19485.0,,,,3.0,https://pypi.org/project/jupyter_http_over_ws,19485.0,,,,,,,,3.0,,Apache-2.0,,,,,,,,,,
171,nbinteract,True,Create interactive webpages from Jupyter Notebooks.,https://github.com/SamLau95/nbinteract,,notebook-sharing,15,nbinteract,SamLau95/nbinteract,,,https://github.com/SamLau95/nbinteract,2017-08-31 00:16:20.000,2022-02-12 05:22:19.000000,2021-04-15 20:39:36,20.0,29.0,41.0,210.0,590.0,,,,2730.0,,1.0,1.0,8.0,https://pypi.org/project/nbinteract,2730.0,,,,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
172,Jupyter Bokeh,True,An extension for rendering Bokeh content in JupyterLab notebooks.,https://github.com/bokeh/jupyter_bokeh,,lab-extensions,15,jupyter-bokeh,bokeh/jupyter_bokeh,,,https://github.com/bokeh/jupyter_bokeh,2017-08-14 23:01:29.000,2022-02-17 16:48:45.000000,2021-09-30 18:17:17,36.0,7.0,73.0,193.0,,,,,28933.0,,,,16.0,https://pypi.org/project/jupyter-bokeh,7461.0,,,,,,,,3.0,,BSD-3-Clause,@bokeh/jupyter_bokeh,https://www.npmjs.com/package/@bokeh/jupyter_bokeh,21472.0,,,,,,,
173,cdsdashboards,True,JupyterHub extension for ContainDS Dashboards.,https://github.com/ideonate/cdsdashboards,,notebook-sharing,15,cdsdashboards,ideonate/cdsdashboards,conda-forge/cdsdashboards,,https://github.com/ideonate/cdsdashboards,2020-04-28 13:51:31.000,2022-02-04 16:33:56.000000,2022-02-04 16:33:56,28.0,27.0,53.0,153.0,452.0,,,,2094.0,19.0,,,12.0,https://pypi.org/project/cdsdashboards,1072.0,https://anaconda.org/conda-forge/cdsdashboards,2021-10-28 20:01:06.914,19434.0,,,,,3.0,,,,,,,,,,,,
174,ipylab,True,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,15,ipylab,jtpio/ipylab,conda-forge/ipylab,,https://github.com/jtpio/ipylab,2019-11-15 19:52:12.000,2022-02-19 08:33:41.000000,2022-02-19 08:33:41,5.0,9.0,19.0,93.0,,2021-11-13 10:58:20,0.5.2,30.0,3131.0,11.0,,,6.0,https://pypi.org/project/ipylab,2802.0,https://anaconda.org/conda-forge/ipylab,2021-11-13 16:03:39.438,8868.0,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
175,nbzip,True,Zips and downloads all the contents of a jupyter notebook.,https://github.com/data-8/nbzip,,jupyter-extensions,15,nbzip,data-8/nbzip,,,https://github.com/data-8/nbzip,2017-09-30 17:32:31.000,2019-11-22 08:47:26.000000,2019-11-22 08:47:25,15.0,9.0,5.0,75.0,43.0,,,,989.0,,259.0,259.0,6.0,https://pypi.org/project/nbzip,989.0,,,,,,,,3.0,,Apache-2.0,,,,,,,,,,
176,niwidgets,True,Neuroimaging widgets for jupyter notebooks.,https://github.com/nipy/niwidgets,,widgets,15,niwidgets,nipy/niwidgets,,,https://github.com/nipy/niwidgets,2017-09-11 22:20:27.000,2022-01-21 19:48:46.000000,2020-03-24 14:27:42,33.0,17.0,17.0,71.0,242.0,,,,137.0,,27.0,27.0,16.0,https://pypi.org/project/niwidgets,137.0,,,,,,,,3.0,,Apache-2.0,,,,,,,,,,
177,JupyterLab Quickopen,True,Quickly open a file in JupyterLab by typing part of its..,https://github.com/parente/jupyterlab-quickopen,,lab-extensions,15,jupyterlab-quickopen,parente/jupyterlab-quickopen,,,https://github.com/parente/jupyterlab-quickopen,2018-12-04 01:00:58.000,2022-02-19 07:49:06.000000,2021-12-12 18:25:55,6.0,,,71.0,56.0,2021-12-12 18:28:02,1.2.0,,504.0,3.0,,,5.0,https://pypi.org/project/jupyterlab-quickopen,437.0,,,,,,,,3.0,,BSD-3-Clause,@parente/jupyterlab-quickopen,https://www.npmjs.com/package/@parente/jupyterlab-quickopen,67.0,,,,,,,
178,jupyterlab-theme-solarized-dark,True,JupyterLab 2.x Solarized Dark extension.,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,,lab-themes,15,jupyterlab_theme_solarized_dark,AllanChain/jupyterlab-theme-solarized-dark,,,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,2020-04-05 12:18:48.000,2022-02-19 07:16:17.000000,2022-02-19 07:16:16,6.0,1.0,1.0,53.0,71.0,2021-09-26 00:52:38,2.0.1,,4527.0,9.0,,,2.0,https://pypi.org/project/jupyterlab_theme_solarized_dark,448.0,,,,,,,,2.0,,BSD-3-Clause,jupyterlab-theme-solarized-dark,https://www.npmjs.com/package/jupyterlab-theme-solarized-dark,4079.0,,,,,,,
179,jupyterlab-sos,True,Jupyterlab extension for SoS Polyglot Notebook and Workflow..,https://github.com/vatlab/jupyterlab-sos,,lab-extensions,15,,vatlab/jupyterlab-sos,conda-forge/jupyterlab-sos,,https://github.com/vatlab/jupyterlab-sos,2018-03-20 16:07:18.000,2022-02-15 23:26:22.000000,2022-02-15 23:26:20,3.0,10.0,48.0,49.0,310.0,2019-09-02 19:30:02,0.5.0,,593.0,11.0,,,4.0,,,https://anaconda.org/conda-forge/jupyterlab-sos,2021-04-16 15:33:43.971,13535.0,,,,,3.0,,BSD-3-Clause,jupyterlab-sos,https://www.npmjs.com/package/jupyterlab-sos,127.0,,,,,,,
