,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,pypi_monthly_downloads,trending,updated_github_id,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
119,Contrib NBextensions,True,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,16,jupyter_contrib_nbextensions,ipython-contrib/jupyter_contrib_nbextensions,,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000,2021-12-03 07:25:49.000000,2021-04-06 05:51:36,743.0,313.0,450.0,4761.0,2608.0,2019-01-02 12:23:07,0.5.1,,,1.0,,,126.0,https://pypi.org/project/jupyter_contrib_nbextensions,,,,,,,,2.0,,,,,,,,,,,,,
120,colabcode,True,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,16,colabcode,abhishekkrthakur/colabcode,,,https://github.com/abhishekkrthakur/colabcode,2020-09-09 10:06:26.000,2021-10-28 17:06:53.000000,2021-06-11 15:16:36,223.0,31.0,31.0,1680.0,44.0,,,,,,53.0,53.0,8.0,https://pypi.org/project/colabcode,,,,,,,,3.0,MIT,,,,,-5.0,,,,,,,
121,JupyterLab Vim,True,Vim notebook cell bindings for JupyterLab.,https://github.com/jwkvam/jupyterlab-vim,,lab-extensions,16,,jwkvam/jupyterlab-vim,,,https://github.com/jwkvam/jupyterlab-vim,2017-12-02 21:16:38.000,2021-06-15 20:32:15.000000,2019-07-16 04:37:36,74.0,55.0,42.0,897.0,60.0,2019-07-16 04:33:54,0.11.0,,533.0,14.0,3.0,3.0,8.0,,,,,,,,,2.0,MIT,jupyterlab_vim,https://www.npmjs.com/package/jupyterlab_vim,533.0,,,,,,,,,
122,IJava,True,A Jupyter kernel for executing Java code.,https://github.com/SpencerPark/IJava,,kernels,16,,SpencerPark/IJava,,,https://github.com/SpencerPark/IJava,2017-10-08 04:42:46.000,2020-09-28 07:59:11.000000,2019-12-08 22:22:20,143.0,62.0,57.0,744.0,90.0,2019-05-06 03:28:50,1.3.0,70938.0,1612.0,5.0,,,4.0,,,,,,,,,3.0,MIT,,,,,,,,,,,,
123,clojupyter,True,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,16,,clojupyter/clojupyter,simplect/clojupyter,simplect/clojupyter,https://github.com/clojupyter/clojupyter,2014-05-09 07:09:06.000,2021-12-29 07:49:50.000000,2021-12-29 07:49:50,73.0,14.0,79.0,721.0,283.0,,,,90.0,7.0,,,26.0,,https://anaconda.org/simplect/clojupyter,2020-03-02 14:14:22.302,2720.0,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,349.0,3.0,MIT,,,,,,,,,,,,
124,VSCode Jupyter,True,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,2020-09-10 23:39:14.000,2022-02-03 01:43:54.000000,2022-02-02 22:26:56,106.0,619.0,6101.0,523.0,,2022-02-01 20:45:45,2022.1.1001775990,,,19.0,,,242.0,,,,,,,,,3.0,MIT,,,,,,,,,,,,
125,GPU Dashboards,True,A JupyterLab extension for displaying dashboards of GPU..,https://github.com/rapidsai/jupyterlab-nvdashboard,,lab-extensions,16,jupyterlab-nvdashboard,rapidsai/jupyterlab-nvdashboard,,,https://github.com/rapidsai/jupyterlab-nvdashboard,2019-08-12 15:22:10.000,2022-02-02 17:41:06.000000,2022-02-02 17:40:22,52.0,24.0,28.0,444.0,,2021-05-25 17:57:52,0.6.0,,3769.0,2.0,,,15.0,https://pypi.org/project/jupyterlab-nvdashboard,,,,,,,,2.0,BSD-3-Clause,jupyterlab-nvdashboard,https://www.npmjs.com/package/jupyterlab-nvdashboard,3769.0,,,,,,,,,
126,itkwidgets,True,"Interactive Jupyter widgets to visualize images, point sets, and..",https://github.com/InsightSoftwareConsortium/itkwidgets,,widgets,16,itkwidgets,InsightSoftwareConsortium/itkwidgets,,,https://github.com/InsightSoftwareConsortium/itkwidgets,2018-02-15 01:43:39.000,2021-09-17 20:07:43.000000,2021-09-17 20:07:43,48.0,72.0,100.0,412.0,877.0,2021-05-14 15:18:02,0.32.1,64.0,1038.0,13.0,,,20.0,https://pypi.org/project/itkwidgets,,,,,,,,3.0,Apache-2.0,itkwidgets,https://www.npmjs.com/package/itkwidgets,1036.0,,,,,,,,,
127,KubeSpawner,True,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,16,jupyterhub-kubespawner,jupyterhub/kubespawner,,,https://github.com/jupyterhub/kubespawner,2015-11-21 07:02:52.000,2022-02-03 07:44:41.000000,2022-01-31 22:58:00,229.0,50.0,218.0,394.0,,,,,,,102.0,102.0,66.0,https://pypi.org/project/jupyterhub-kubespawner,,,,,,,,2.0,BSD-3-Clause,,,,,-5.0,,,,,,,
128,Octave Kernel,True,An Octave kernel for IPython.,https://github.com/Calysto/octave_kernel,,kernels,16,octave_kernel,calysto/octave_kernel,,,https://github.com/Calysto/octave_kernel,2014-07-31 01:59:06.000,2022-01-04 01:26:18.000000,2022-01-04 01:26:12,57.0,26.0,140.0,390.0,389.0,2022-01-04 01:27:35,0.34.0,15.0,0.0,4.0,,,17.0,https://pypi.org/project/octave_kernel,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
129,treon,True,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,16,treon,ReviewNB/treon,,,https://github.com/ReviewNB/treon,2019-03-29 15:02:35.000,2021-12-21 13:49:08.000000,2020-10-08 09:00:06,19.0,2.0,9.0,279.0,56.0,,,,4232.0,,35.0,35.0,4.0,https://pypi.org/project/treon,,,,,,,,3.0,MIT,,,,4232.0,,,,,,,,
130,JupyterLab Go-To-Definition,True,Navigate to variable's definition with a click in..,https://github.com/krassowski/jupyterlab-go-to-definition,,lab-extensions,16,,krassowski/jupyterlab-go-to-definition,,,https://github.com/krassowski/jupyterlab-go-to-definition,2018-12-22 01:18:42.000,2021-08-23 19:48:16.000000,2021-07-28 12:06:05,9.0,10.0,13.0,209.0,89.0,2019-07-05 21:26:30,0.5.0,,2853.0,5.0,11.0,11.0,2.0,,,,,,,,,2.0,BSD-3-Clause,@krassowski/jupyterlab_go_to_definition,https://www.npmjs.com/package/@krassowski/jupyterlab_go_to_definition,2853.0,,,,,,,,,
131,ipytest,True,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,16,ipytest,chmp/ipytest,,,https://github.com/chmp/ipytest,2016-02-07 20:24:41.000,2022-02-02 18:34:27.000000,2021-07-28 17:34:15,18.0,2.0,43.0,198.0,,,,,6188.0,,139.0,139.0,4.0,https://pypi.org/project/ipytest,,,,,,,,3.0,MIT,,,,6188.0,4.0,,,,,,,
132,JupyterLab SideCar,True,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,16,sidecar,jupyter-widgets/jupyterlab-sidecar,,,https://github.com/jupyter-widgets/jupyterlab-sidecar,2018-03-26 09:23:58.000,2022-01-22 02:09:56.000000,2021-07-04 21:12:58,34.0,19.0,10.0,192.0,69.0,2021-03-11 01:34:17,0.5.1,,581.0,1.0,3.0,3.0,13.0,https://pypi.org/project/sidecar,,,,,,,,2.0,BSD-3-Clause,@jupyter-widgets/jupyterlab-sidecar,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,581.0,,,,,,,,,
133,JupyterLab Data Explorer,True,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,16,,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,2019-01-03 21:57:42.000,2021-12-09 16:25:40.000000,2020-05-24 13:16:16,35.0,57.0,34.0,161.0,426.0,,,,128.0,,10.0,10.0,9.0,,,,,,,,,2.0,BSD-3-Clause,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,128.0,,,,,,,,,
