,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,license,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
162,blackcellmagic,True,IPython magic command to format python code in cell using..,https://github.com/csurfer/blackcellmagic,,magic,15,blackcellmagic,csurfer/blackcellmagic,,,https://github.com/csurfer/blackcellmagic,2018-04-25 14:27:26.000000,2021-09-18 19:09:47.000000,2021-09-18 19:09:46.000000,9.0,3.0,5.0,284.0,18.0,,,,2673.0,,128.0,128.0,3.0,https://pypi.org/project/blackcellmagic,2673.0,,,,,,,,2.0,,MIT,,,,,,,,,,
163,JupyterLab Tensorboard,True,Tensorboard extension for jupyterlab.,https://github.com/chaoleili/jupyterlab_tensorboard,,lab-extensions,15,,chaoleili/jupyterlab_tensorboard,,,https://github.com/chaoleili/jupyterlab_tensorboard,2018-08-14 12:36:26.000000,2022-01-10 09:09:27.000000,2021-02-24 06:31:50.000000,30.0,16.0,10.0,284.0,31.0,,,,5210.0,,2.0,2.0,6.0,,,,,,,,,,3.0,jupyterlab_tensorboard,MIT,https://www.npmjs.com/package/jupyterlab_tensorboard,5210.0,,,,,,,,
164,HTTP-over-WebSocket,True,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,15,jupyter_http_over_ws,googlecolab/jupyter_http_over_ws,,,https://github.com/googlecolab/jupyter_http_over_ws,2018-03-26 22:52:45.000000,2021-08-30 21:48:26.000000,2021-08-30 21:48:24.000000,35.0,19.0,7.0,205.0,29.0,,,,9596.0,,,,3.0,https://pypi.org/project/jupyter_http_over_ws,9596.0,,,,,,,,3.0,,Apache-2.0,,,,,,,,,,
165,Jupyter Spark,True,Jupyter Notebook extension for Apache Spark integration.,https://github.com/mozilla/jupyter-spark,,jupyter-extensions,15,jupyter-spark,mozilla/jupyter-spark,,,https://github.com/mozilla/jupyter-spark,2016-01-27 15:38:50.000000,2020-12-01 19:43:11.000000,2020-12-01 19:43:11.000000,30.0,13.0,14.0,189.0,106.0,,,,780.0,,16.0,16.0,12.0,https://pypi.org/project/jupyter-spark,780.0,,,,,,,,3.0,,MPL-2.0,,,,,,,,,,
166,ipytest,True,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,15,ipytest,chmp/ipytest,,,https://github.com/chmp/ipytest,2016-02-07 20:24:41.000000,2021-07-28 17:52:52.000000,2021-07-28 17:34:15.000000,18.0,2.0,41.0,180.0,,,,,6198.0,,137.0,137.0,4.0,https://pypi.org/project/ipytest,6198.0,,,,,,,,3.0,,MIT,,,,,,,,,,
167,cdsdashboards,True,JupyterHub extension for ContainDS Dashboards.,https://github.com/ideonate/cdsdashboards,,notebook-sharing,15,cdsdashboards,ideonate/cdsdashboards,conda-forge/cdsdashboards,,https://github.com/ideonate/cdsdashboards,2020-04-28 13:51:31.000000,2021-12-29 14:55:57.000000,2021-12-21 12:15:24.000000,26.0,27.0,52.0,150.0,450.0,,,,1444.0,19.0,,,11.0,https://pypi.org/project/cdsdashboards,429.0,https://anaconda.org/conda-forge/cdsdashboards,2021-10-28 20:01:06.914000,18275.0,,,,,3.0,,,,,,,,,,,,
168,Jupyter Sphinx,True,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,15,jupyter_sphinx,jupyter/jupyter-sphinx,,,https://github.com/jupyter/jupyter-sphinx,2016-11-15 18:36:37.000000,2021-12-20 09:52:04.000000,2021-12-20 09:52:04.000000,45.0,37.0,77.0,136.0,353.0,2020-09-21 17:37:11.000000,0.3.2,,,3.0,,,24.0,https://pypi.org/project/jupyter_sphinx,,,,,,,,,3.0,,BSD-3-Clause,,,-5.0,,,,,,,
169,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,15,,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,2019-01-21 04:39:42.000000,2021-08-26 08:02:21.000000,2021-08-26 08:02:18.000000,18.0,5.0,16.0,126.0,111.0,,,,1504.0,,167.0,167.0,7.0,,,,,,,,,,1.0,@telamonian/theme-darcula,BSD-3-Clause,https://www.npmjs.com/package/@telamonian/theme-darcula,1504.0,,,,,,,,
170,nb_conda,True,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,15,,Anaconda-Platform/nb_conda,conda-forge/nb_conda,,https://github.com/Anaconda-Platform/nb_conda,2015-12-09 23:12:58.000000,2021-02-08 11:04:25.512000,2020-09-11 21:06:00.000000,28.0,33.0,28.0,126.0,158.0,,,,4908.0,4.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda,2021-02-08 11:04:25.512000,323974.0,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
171,jupyterlab-celltags,True,A JupyterLab extension for notebook cell tags.,https://github.com/jupyterlab/jupyterlab-celltags,,lab-extensions,15,,jupyterlab/jupyterlab-celltags,,,https://github.com/jupyterlab/jupyterlab-celltags,2018-06-18 22:02:23.000000,2020-04-29 18:27:31.000000,2020-04-29 18:26:29.000000,25.0,11.0,7.0,112.0,441.0,,,,,,346.0,346.0,10.0,,,,,,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
