,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
48,LDAP Authenticator,True,LDAP Authenticator Plugin for Jupyter.,https://github.com/jupyterhub/ldapauthenticator,,hub-auth,23,jupyterhub/ldapauthenticator,jupyterhub-ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,2016-01-17 05:11:49.000000,2021-06-14 10:15:05.000000,2021-04-16 21:15:54.000000,136.0,49.0,76.0,150.0,164.0,2018-06-14 12:02:35.000000,1.2.2,,8319.0,3.0,73.0,73.0,29.0,https://pypi.org/project/jupyterhub-ldapauthenticator,7773.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2020-08-28 14:10:52.507000,19669.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
49,Knowledge Repo,True,A next-generation curated knowledge sharing platform for..,https://github.com/airbnb/knowledge-repo,,notebook-sharing,22,airbnb/knowledge-repo,knowledge-repo,,https://github.com/airbnb/knowledge-repo,2016-08-17 23:32:50.000000,2021-06-08 17:06:12.000000,2021-03-12 23:00:14.000000,602.0,119.0,160.0,4806.0,574.0,2021-01-20 07:24:58.000000,0.9.0,,3165.0,30.0,,,57.0,https://pypi.org/project/knowledge-repo,3165.0,,,,2.0,,,,,,,Apache-2.0,,,,,,,,,,
50,gophernotes,True,The Go kernel for Jupyter notebooks and nteract.,https://github.com/gopherdata/gophernotes,,kernels,22,gopherdata/gophernotes,,,https://github.com/gopherdata/gophernotes,2016-01-22 19:22:16.000000,2021-05-03 16:07:02.000000,2021-05-03 16:06:45.000000,200.0,41.0,119.0,2933.0,386.0,2021-03-18 17:47:36.000000,0.7.2,39.0,1277.0,14.0,,,28.0,,,,,,1.0,gopherdata/gophernotes,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,6.0,83030.0,,MIT,,,,github.com/gopherdata/gophernotes,,,,,,
51,qgrid,True,"An interactive grid for sorting, filtering, and editing DataFrames..",https://github.com/quantopian/qgrid,,widgets,22,quantopian/qgrid,qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,2014-09-30 04:33:20.000000,2021-03-07 23:26:08.000000,2020-04-07 18:56:49.000000,353.0,142.0,123.0,2709.0,405.0,2020-04-07 16:34:17.000000,1.3.1,,62976.0,21.0,1.0,1.0,30.0,https://pypi.org/project/qgrid,52437.0,https://anaconda.org/conda-forge/qgrid,2021-03-04 10:14:48.336000,306122.0,2.0,,,,,,qgrid,Apache-2.0,https://www.npmjs.com/package/qgrid,2886.0,,,,,,,,
52,BeakerX,True,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,22,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000000,2021-01-21 14:03:03.000000,2021-01-21 14:02:57.000000,365.0,340.0,4173.0,2570.0,1689.0,2018-12-04 18:27:21.000000,1.3.0,31.0,26429.0,39.0,,,43.0,https://pypi.org/project/beakerx,12987.0,https://anaconda.org/conda-forge/beakerx,2020-10-16 00:01:07.915000,427170.0,2.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,21.0,243873.0,beakerx,Apache-2.0,https://www.npmjs.com/package/beakerx,1241.0,,,,,,,,
53,nbviewer,True,nbconvert as a web service: Render Jupyter Notebooks as static web..,https://github.com/jupyter/nbviewer,,notebook-sharing,22,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,2012-08-05 11:42:33.000000,2021-06-15 08:12:16.000000,2020-12-02 09:03:55.000000,466.0,147.0,400.0,1896.0,1382.0,,,,17438.0,,5.0,5.0,83.0,,,,,,2.0,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2020-12-02 09:25:43.416709,26.0,1848438.0,,BSD-3-Clause,,,,,,,,,,
54,IRkernel,True,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,22,IRkernel/IRkernel,,r/r-irkernel,https://github.com/IRkernel/IRkernel,2014-02-26 02:57:07.000000,2021-06-23 16:28:22.838428,2021-05-11 11:30:11.000000,281.0,45.0,496.0,1448.0,581.0,2021-05-11 11:36:15.000000,1.2,,10686.0,16.0,,,39.0,,,https://anaconda.org/r/r-irkernel,2020-03-10 23:18:20.173000,37820.0,1.0,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2021-06-23 16:28:22.838428,38.0,895475.0,,MIT,,,,,IRkernel,,,,,
55,nbgrader,True,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,22,jupyter/nbgrader,nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,2014-09-13 03:27:36.000000,2021-06-23 05:08:22.000000,2021-06-16 09:26:43.000000,254.0,188.0,574.0,1020.0,2968.0,2021-05-08 15:44:14.000000,0.6.2,,5291.0,19.0,,,83.0,https://pypi.org/project/nbgrader,3557.0,https://anaconda.org/conda-forge/nbgrader,2021-03-10 20:40:41.451000,91949.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
56,DataLab,True,Interactive tools and developer experiences for Big Data on..,https://github.com/googledatalab/datalab,,notebook-environments,22,googledatalab/datalab,datalab,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000000,2021-05-25 09:08:46.000000,2020-09-09 05:30:42.000000,241.0,223.0,667.0,958.0,2053.0,2019-01-17 18:31:29.000000,1.2.20190116,,37437.0,18.0,,,51.0,https://pypi.org/project/datalab,37437.0,,,,2.0,,,,,,,Apache-2.0,,,,,,,,,,
57,JupyterLab LSP,True,Coding assistance for JupyterLab (code navigation + hover..,https://github.com/krassowski/jupyterlab-lsp,,lab-extensions,22,krassowski/jupyterlab-lsp,,,https://github.com/krassowski/jupyterlab-lsp,2019-08-17 11:34:22.000000,2021-06-17 22:28:58.000000,2021-06-16 12:44:27.000000,74.0,110.0,219.0,941.0,2064.0,2021-05-31 09:47:51.000000,3.7.0,,30227.0,33.0,2.0,2.0,33.0,,,,,,1.0,,,,,,@krassowski/jupyterlab-lsp,BSD-3-Clause,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,30227.0,,,,,,,,
58,JupyterLab TOC,True,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,22,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000000,2021-06-18 10:48:09.000000,2021-06-18 10:48:06.000000,97.0,65.0,49.0,680.0,521.0,2018-04-16 17:16:10.000000,0.2.0,,126874.0,1.0,93.0,93.0,13.0,,,,,,1.0,,,,,,@jupyterlab/toc,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/toc,126874.0,,,,,,,,
59,Stencila,True,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,22,stencila/stencila,,,https://github.com/stencila/stencila,2012-05-31 02:43:31.000000,2021-06-24 03:40:24.000000,2021-06-24 03:40:16.000000,32.0,18.0,453.0,596.0,3664.0,2021-06-24 03:40:25.000000,0.87.3,1236.0,351.0,100.0,16.0,16.0,21.0,,,,,,2.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16458.0,stencila,Apache-2.0,https://www.npmjs.com/package/stencila,143.0,,,,,,,,
