,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,commit_count,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
94,JupyterLab System Monitor,True,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,19,jtpio/jupyterlab-system-monitor,,,https://github.com/jtpio/jupyterlab-system-monitor,BSD-3-Clause,2019-07-13 12:31:51.000,2022-07-20 02:30:49.000000,2022-02-15 08:27:46,29.0,22.0,20.0,246.0,2021-02-04 22:39:49,0.8.0,,3667.0,2.0,48.0,48.0,7.0,,,,,,1.0,jupyterlab-system-monitor,,https://www.npmjs.com/package/jupyterlab-system-monitor,3667.0,,,,,,,,,,,,,
95,bookstore,True,Notebook storage and publishing workflows for the masses.,https://github.com/nteract/bookstore,,notebook-sharing,19,nteract/bookstore,bookstore,,https://github.com/nteract/bookstore,BSD-3-Clause,2018-10-16 18:54:00.000,2021-08-26 18:26:16.000000,2019-12-09 16:52:07,19.0,34.0,39.0,185.0,2019-12-03 17:50:40,2.5.0,,28978.0,6.0,11.0,11.0,7.0,https://pypi.org/project/bookstore,28978.0,,,,3.0,,619.0,,,,,,,,,,,,,,,
96,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,19,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,,2015-04-09 01:07:29.000,2022-08-22 22:48:30.000000,2022-08-19 13:42:56,129.0,48.0,74.0,179.0,2022-08-17 09:11:11,5.5.0b1,,10002105.0,16.0,,,67.0,https://pypi.org/project/nbformat,9873320.0,https://anaconda.org/conda-forge/nbformat,2022-05-03 19:45:12.925,9787681.0,2.0,,,,,,,,,,,-8.0,,,,,,
97,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,19,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,BSD-3-Clause,2019-01-21 04:39:42.000,2022-07-20 12:04:32.000000,2022-07-20 12:02:54,22.0,7.0,16.0,151.0,,,,1375.0,,504.0,504.0,7.0,,,,,,1.0,@telamonian/theme-darcula,113.0,https://www.npmjs.com/package/@telamonian/theme-darcula,1375.0,,,,,,,,,,,,,
98,jupyter-packaging,True,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,19,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,BSD-3-Clause,2017-03-04 19:38:49.000,2022-08-09 13:23:10.000000,2022-08-09 13:23:06,44.0,11.0,28.0,58.0,2022-06-20 14:32:13,0.12.2,28.0,341974.0,31.0,,,29.0,https://pypi.org/project/jupyter-packaging,330833.0,https://anaconda.org/conda-forge/jupyter-packaging,2022-07-14 17:02:08.510,300791.0,3.0,,,,,,,,,,,,,,,,,
99,ipydagred3,True,ipywidgets library for drawing directed acyclic graphs in..,https://github.com/timkpaine/ipydagred3,,widgets,19,timkpaine/ipydagred3,ipydagred3,,https://github.com/timkpaine/ipydagred3,Apache-2.0,2020-02-29 23:01:15.000,2022-07-21 13:31:33.000000,2022-07-21 13:31:32,5.0,3.0,16.0,38.0,2022-05-06 22:45:47,0.3.6,,80176.0,15.0,11.0,11.0,3.0,https://pypi.org/project/ipydagred3,914.0,,,,3.0,@jupyter-widgets/jupyterlab-manager,,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,79262.0,,,,,,,,,,,,,
100,ML Workspace,True,All-in-one web-based IDE specialized for machine learning and..,https://github.com/ml-tooling/ml-workspace,,notebook-environments,18,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,Apache-2.0,2019-05-27 16:55:15.000,2022-02-03 21:26:52.000000,2021-11-22 20:42:15,334.0,8.0,79.0,2717.0,2021-07-13 22:12:59,0.13.2,,13020.0,4.0,,,11.0,,,,,,3.0,,,,,,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-07-13 16:32:15.225256,24.0,507812.0,,,,,,,
101,IHaskell,True,A Haskell kernel for IPython.,https://github.com/IHaskell/IHaskell,,kernels,18,gibiansky/IHaskell,,,https://github.com/IHaskell/IHaskell,MIT,2013-08-26 07:16:09.000,2022-08-25 13:24:43.000000,2022-07-22 12:52:06,241.0,32.0,708.0,2381.0,2015-03-26 05:06:25,0.6,,13.0,1.0,4.0,4.0,110.0,,,,,,2.0,ihaskell_jupyterlab,2129.0,https://www.npmjs.com/package/ihaskell_jupyterlab,13.0,IHaskell/IHaskell,,,,,,,,,,,,
102,ipyparallel,True,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,18,ipython/ipyparallel,ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,,2015-04-09 07:43:55.000,2022-08-22 22:30:27.000000,2022-08-16 11:53:24,871.0,53.0,279.0,2254.0,,,,120438.0,24.0,,,111.0,https://pypi.org/project/ipyparallel,111691.0,https://anaconda.org/conda-forge/ipyparallel,2022-06-21 14:24:53.709,664791.0,3.0,,,,,,,,,,,,,,,,,
103,BinderHub,True,"Run your code in the cloud, with technology so advanced, it feels..",https://github.com/jupyterhub/binderhub,,notebook-sharing,18,jupyterhub/binderhub,,,https://github.com/jupyterhub/binderhub,BSD-3-Clause,2017-04-26 00:28:26.000,2022-08-23 20:43:16.000000,2022-08-22 07:05:57,323.0,183.0,449.0,2178.0,,,,,1.0,6.0,6.0,84.0,,,,,,3.0,,2746.0,,,,,,,,,,,,binderhub,,,
