,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,license,npm_id,npm_url,npm_monthly_downloads,updated_github_id,go_id,trending,cran_id,gem_id,pypi,hex_id,bitbucket_id
67,IJavascript,True,IJavascript is a javascript kernel for the Jupyter notebook.,https://github.com/n-riesco/ijavascript,,kernels,20,n-riesco/ijavascript,,,https://github.com/n-riesco/ijavascript,2015-02-02 15:46:34.000000,2021-11-02 12:15:07.000000,2021-06-16 07:25:16.000000,136.0,60.0,150.0,1681.0,325.0,2019-09-26 17:23:40.000000,5.2.0,,2314.0,32.0,53.0,53.0,14.0,,,,,,2.0,,,,,,,ijavascript,https://www.npmjs.com/package/ijavascript,2314.0,,,,,,,,
68,Variable Inspector,True,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,20,lckr/jupyterlab-variableInspector,,,https://github.com/lckr/jupyterlab-variableInspector,2018-06-13 18:16:02.000000,2021-10-19 16:52:12.000000,2021-10-19 16:52:05.000000,75.0,34.0,114.0,845.0,165.0,2021-04-10 11:39:23.000000,3.0.7,,15078.0,6.0,3.0,3.0,17.0,,,,,,2.0,,,,,,BSD-3-Clause,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,15078.0,,,,,,,,
69,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,20,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,2020-04-26 18:43:59.000000,2021-10-18 20:50:37.000000,2021-01-22 17:01:16.000000,165.0,31.0,14.0,595.0,119.0,2021-01-22 17:07:52.000000,0.4.0,65.0,3.0,9.0,985.0,985.0,3.0,https://pypi.org/project/jupyter-dash,,,,,2.0,,,,,,MIT,,,,,,,,,,,
70,DockerSpawner,True,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,20,jupyterhub/dockerspawner,dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,2014-09-26 20:08:26.000000,2021-09-13 12:21:44.000000,2021-07-22 10:14:46.000000,267.0,17.0,231.0,401.0,,,,,6728.0,4.0,107.0,107.0,62.0,https://pypi.org/project/dockerspawner,6463.0,https://anaconda.org/conda-forge/dockerspawner,2021-08-17 09:21:01.475000,9549.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
71,KubeSpawner,True,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,20,jupyterhub/kubespawner,jupyterhub-kubespawner,,https://github.com/jupyterhub/kubespawner,2015-11-21 07:02:52.000000,2021-11-03 11:42:24.000000,2021-11-03 11:42:02.000000,222.0,48.0,211.0,386.0,,,,,29216.0,,98.0,98.0,65.0,https://pypi.org/project/jupyterhub-kubespawner,29216.0,,,,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
72,Appmode,True,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,20,oschuett/appmode,appmode,conda-forge/appmode,https://github.com/oschuett/appmode,2017-03-17 13:33:53.000000,2021-04-26 19:20:13.000000,2021-04-26 19:20:06.000000,63.0,3.0,49.0,378.0,96.0,2020-06-09 08:17:47.000000,0.8.0,,2822.0,8.0,288.0,288.0,8.0,https://pypi.org/project/appmode,,https://anaconda.org/conda-forge/appmode,2021-01-24 17:12:41.412000,135501.0,2.0,,,,,,MIT,,,,,,,,,,,
73,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,20,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-11-04 13:35:00.000000,2021-10-05 21:49:52.000000,211.0,125.0,163.0,244.0,2096.0,2021-10-05 13:25:24.000000,7.0.6,77.0,25.0,8.0,,,107.0,https://pypi.org/project/jupyter-client,,,,,2.0,,,,,,BSD-3-Clause,,,,,,-6.0,,,,,
74,Jupyter Sphinx,True,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,20,jupyter/jupyter-sphinx,jupyter_sphinx,,https://github.com/jupyter/jupyter-sphinx,2016-11-15 18:36:37.000000,2021-09-10 20:37:28.000000,2021-09-10 20:37:28.000000,46.0,35.0,75.0,131.0,351.0,2020-09-21 17:37:11.000000,0.3.2,,60561.0,3.0,,,24.0,https://pypi.org/project/jupyter_sphinx,60561.0,,,,2.0,,,,,,BSD-3-Clause,,,,,,,,,,,
75,jupyter-packaging,True,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,20,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,2017-03-04 19:38:49.000000,2021-10-18 18:37:16.630000,2021-10-18 15:58:05.000000,36.0,8.0,19.0,39.0,292.0,2021-10-18 15:59:33.000000,0.11.0,,202976.0,28.0,,,19.0,https://pypi.org/project/jupyter-packaging,192756.0,https://anaconda.org/conda-forge/jupyter-packaging,2021-10-18 18:37:16.630000,183962.0,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
76,xeus-cling,True,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,19,jupyter-xeus/xeus-cling,,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,2017-04-20 15:35:44.000000,2021-09-28 11:28:01.000000,2021-09-27 15:05:53.000000,214.0,119.0,112.0,2006.0,470.0,,,,3637.0,15.0,,,20.0,,,https://anaconda.org/conda-forge/xeus-cling,2021-09-24 15:58:38.450000,127309.0,2.0,,,,,,BSD-3-Clause,,,,,,,,,,,
77,docker-python,True,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,19,kaggle/docker-python,,,https://github.com/Kaggle/docker-python,2015-04-14 01:45:38.000000,2021-10-28 19:06:26.000000,2021-10-28 19:06:25.000000,759.0,8.0,267.0,1959.0,,2021-10-27 19:14:34.000000,7b500f6081e92f812db283da919abe5e305c17a7130d456ddd8ddbd7da786e50,,2424.0,53.0,,,143.0,,,,,,3.0,kaggle/python,https://hub.docker.com/r/kaggle/python,2021-10-27 19:34:01.572502,157.0,191525.0,Apache-2.0,,,,,,,,,,,
78,almond,True,A Scala kernel for Jupyter.,https://github.com/almond-sh/almond,,kernels,19,almond-sh/almond,,,https://github.com/almond-sh/almond,2015-03-10 22:48:50.000000,2021-11-03 15:04:52.000000,2021-09-01 14:23:22.000000,207.0,93.0,191.0,1410.0,989.0,,,1150.0,171.0,37.0,,,35.0,,,,,,2.0,almondsh/almond,https://hub.docker.com/r/almondsh/almond,2021-08-26 20:33:34.010515,6.0,11411.0,BSD-3-Clause,,,,,,,,,,,
