,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,license,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
260,Keberos Authenticator,True,A JupyterHub authenticator using Kerberos.,https://github.com/jupyterhub/kerberosauthenticator,,hub-auth,9,jupyterhub/kerberosauthenticator,jupyterhub-kerberosauthenticator,,https://github.com/jupyterhub/kerberosauthenticator,2019-04-17 18:01:36.000,2019-07-16 16:57:42.000000,2019-07-16 16:57:24,5.0,3.0,2.0,10.0,21.0,,,,247.0,,,,2.0,https://pypi.org/project/jupyterhub-kerberosauthenticator,247.0,,,,3.0,BSD-3-Clause,,,,,,,,,,,,,,,,
261,ipyaggrid,True,Jupyter widget - ag-grid in the notebook.,https://github.com/DGothrek/ipyaggrid,,widgets,9,DGothrek/ipyaggrid,ipyaggrid,,https://github.com/DGothrek/ipyaggrid,2019-05-06 04:24:26.000,2019-05-06 04:27:06.000000,2019-05-06 04:27:05,,6.0,,9.0,47.0,,,,3984.0,,,,2.0,https://pypi.org/project/ipyaggrid,2859.0,,,,3.0,MIT,,ipyaggrid,https://www.npmjs.com/package/ipyaggrid,1125.0,,,,,,,,,,,,
262,JupyterLab Spark,True,Spark Application UI extension for JupyterLab.,https://github.com/manuzhang/jupyterlab_spark,,lab-extensions,9,manuzhang/jupyterlab_spark,,,https://github.com/manuzhang/jupyterlab_spark,2019-04-20 06:31:59.000,2021-09-05 13:13:14.000000,2021-09-05 13:10:26,2.0,2.0,3.0,8.0,21.0,2021-09-05 06:59:55,0.4.0,,71.0,3.0,,,2.0,,,,,,3.0,Apache-2.0,,jupyterlab_spark,https://www.npmjs.com/package/jupyterlab_spark,71.0,,,,,,,,,,,,
263,Hash Authenticator,True,Authenticate users with passwords generated from their..,https://github.com/thedataincubator/jupyterhub-hashauthenticator,,hub-auth,9,thedataincubator/jupyterhub-hashauthenticator,jupyterhub-hashauthenticator,,https://github.com/thedataincubator/jupyterhub-hashauthenticator,2017-08-18 19:18:33.000,2021-03-09 21:34:23.000000,2021-03-09 21:34:14,3.0,,,4.0,40.0,,,,81.0,,,,3.0,https://pypi.org/project/jupyterhub-hashauthenticator,81.0,,,,3.0,BSD-3-Clause,,,,,,,,,,,,,,,,
264,easyexplore,True,Toolbox for easy and effective data exploration in Python.,https://github.com/GianniBalistreri/easyexplore,,widgets,9,GianniBalistreri/easyexplore,easyexplore,,https://github.com/GianniBalistreri/easyexplore,2020-05-04 17:26:04.000,2021-10-27 19:00:44.000000,2021-06-04 09:05:11,2.0,,1.0,3.0,220.0,,,,993.0,,1.0,1.0,3.0,https://pypi.org/project/easyexplore,993.0,,,,3.0,GPL-3.0,,,,,,,,,,,,,,,,
265,JupyterLab,True,JupyterLab computational environment.,,,notebook-environments,9,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,,2016-06-28 14:07:29.294,2022-04-07 13:50:24.225000,,,,,,,,,,2462550.0,257.0,,,,https://pypi.org/project/jupyterlab,2387427.0,https://anaconda.org/conda-forge/jupyterlab,2022-04-07 13:50:24.225,5258614.0,3.0,,,,,,,,,,,-26.0,,,,,,
266,Jupyter Black,True,Black formatter for Jupyter Notebook.,https://github.com/drillan/jupyter-black,,jupyter-extensions,8,drillan/jupyter-black,,,https://github.com/drillan/jupyter-black,2018-08-10 05:21:02.000,2020-02-01 03:27:05.000000,2020-02-01 03:27:04,18.0,8.0,12.0,398.0,10.0,,,,,,,,2.0,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,,,,,
267,jupyterlab-executor,True,JupyterLab extension to execute the scripts from the file browser.,https://github.com/gavincyi/jupyterlab-executor,,lab-extensions,8,gavincyi/jupyterlab-executor,jupyterlab-executor,,https://github.com/gavincyi/jupyterlab-executor,2020-12-29 15:51:54.000,2021-03-24 22:08:04.000000,2021-03-24 21:14:10,,,1.0,5.0,,2021-03-24 21:17:12,2021.1.6,3.0,124.0,3.0,,,2.0,https://pypi.org/project/jupyterlab-executor,96.0,,,,3.0,BSD-3-Clause,,@gavincyi/jupyterlab-executor,https://www.npmjs.com/package/@gavincyi/jupyterlab-executor,28.0,,,,,,,,,,,,
268,Jupter-Notebook-REST-API,True,Run your jupyter notebooks as a REST API endpoint...,https://github.com/Invictify/Jupter-Notebook-REST-API,,notebook-tools,7,Invictify/Jupter-Notebook-REST-API,,,https://github.com/Invictify/Jupter-Notebook-REST-API,2020-03-31 22:48:04.000,2022-04-06 19:03:16.000000,2020-03-31 23:00:06,5.0,,,40.0,2.0,,,,,,,,2.0,,,,,,3.0,MIT,,,,,,,,,,,,,,,,
269,ssh_ipykernel,True,A remote jupyter kernel via ssh.,https://github.com/bernhard-42/ssh_ipykernel,,kernels,7,bernhard-42/ssh_ipykernel,,,https://github.com/bernhard-42/ssh_ipykernel,2019-09-01 17:43:26.000,2022-03-29 17:47:20.000000,2021-06-28 15:17:55,2.0,,,7.0,81.0,,,,,,,,2.0,,,,,,3.0,MIT,,,,,,,,,,,,,,,,
270,Nord Theme,True,JupyterLab - Nord Theme.,https://github.com/kenshohara/theme-nord-extension,,lab-themes,6,kenshohara/theme-nord-extension,,,https://github.com/kenshohara/theme-nord-extension,2019-06-11 02:09:21.000,2020-09-20 09:11:33.000000,2020-09-20 09:10:43,1.0,1.0,4.0,24.0,13.0,,,,73.0,,,,,,,,,,3.0,,,@kenshohara/theme-nord-extension,https://www.npmjs.com/package/@kenshohara/theme-nord-extension,73.0,,,,,,,,,,,,
271,kernel-relay,True,kernel-relay is a GraphQL service for interfacing with..,https://github.com/nteract/kernel-relay,,kernels,6,nteract/kernel-relay,,,https://github.com/nteract/kernel-relay,2019-02-04 21:12:54.000,2022-02-12 07:50:55.000000,2019-07-10 04:14:14,5.0,10.0,2.0,11.0,12.0,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,
272,jupyterterminals,True,Jupyter plugin to support inline terminal shells along with..,https://github.com/willkessler/jupyterterminals,,jupyter-extensions,6,willkessler/jupyterterminals,,,https://github.com/willkessler/jupyterterminals,2020-03-08 16:36:18.000,2021-08-12 05:10:14.000000,2021-05-17 04:32:02,2.0,,1.0,8.0,47.0,,,,,,1.0,1.0,2.0,,,,,,3.0,MIT,,,,,,,,,,,,,,,,
273,SSH Authenticator,True,A simple SSH authenticator for JupyterHub.,https://github.com/andreas-h/sshauthenticator,,hub-auth,6,andreas-h/sshauthenticator,,,https://github.com/andreas-h/sshauthenticator,2019-09-03 10:20:22.000,2019-09-03 15:17:32.000000,2019-09-03 15:17:07,1.0,,,5.0,4.0,,,,,,,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,,,,,
274,nb_black,True,A simple extension for Jupyter Notebook and Jupyter Lab to beautify Python code automatically using Black.,,,magic,6,,nb_black,conda-forge/nb_black,,2019-05-02 16:13:43.498,2019-11-30 11:30:08.595000,,,,,,,,,,35373.0,4.0,,,,https://pypi.org/project/nb_black,33493.0,https://anaconda.org/conda-forge/nb_black,2019-11-30 11:30:08.595,65813.0,3.0,,,,,,,,,,,,,,,,,
