,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
20,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,26,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2022-10-18 16:49:22.000000,2022-10-04 12:18:19,238.0,83.0,452.0,1167.0,2022-09-30 14:20:52,0.39.3.post1,,107551.0,46.0,16.0,16.0,79.0,https://pypi.org/project/jupyterlab-git,101435.0,https://anaconda.org/conda-forge/jupyterlab-git,2022-09-30 19:45:23.615,281355.0,1.0,,1800.0,,,,,,,,,,,,,,,
21,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,26,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2022-10-18 18:36:11.000000,2022-06-28 17:24:21,212.0,44.0,23.0,820.0,2022-04-01 20:13:44,0.4.2,77.0,414320.0,11.0,1950.0,1950.0,10.0,https://pypi.org/project/jupyter-dash,414318.0,,,,2.0,,156.0,,,,,,,,,,,,,,,
22,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,26,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,,2020-01-13 17:29:49.000,2022-10-07 06:52:51.888000,2022-10-06 16:32:23,46.0,31.0,62.0,108.0,2022-10-06 16:32:36,0.7.0,108.0,8964483.0,28.0,72991.0,72991.0,33.0,https://pypi.org/project/nbclient,8776634.0,https://anaconda.org/conda-forge/nbclient,2022-10-07 06:52:51.888,6010953.0,1.0,,,,,,,,,,,,,,,,,
23,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,,2014-06-12 23:22:10.000,2022-10-20 14:06:40.000000,2022-10-20 08:56:15,1765.0,126.0,2035.0,7282.0,,,,176782.0,33.0,1935.0,1935.0,299.0,https://pypi.org/project/jupyterhub,139922.0,https://anaconda.org/conda-forge/jupyterhub,2022-09-12 12:49:07.730,733451.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-10-17 16:48:08.233253,315.0,2733575.0,,,,,,,
24,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,25,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2021-11-29 10:48:23.000000,2021-05-06 12:01:05,857.0,78.0,76.0,7015.0,2019-07-01 16:35:20,1.0.0,,334293.0,4.0,145.0,145.0,28.0,https://pypi.org/project/facets-overview,334293.0,,,,2.0,,264.0,,,,,,,,,,,,,,,
25,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2022-09-26 16:38:24.000000,2022-09-23 16:21:40,528.0,159.0,1520.0,5894.0,2021-01-26 05:18:38,0.28.0,1380231.0,21122.0,66.0,,,176.0,https://pypi.org/project/nteract_on_jupyter,3197.0,,,,1.0,,10501.0,,,,,,,,,,,,,,,
26,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,25,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2022-10-19 10:38:36.000000,2022-10-18 06:35:22,378.0,58.0,649.0,3823.0,2022-09-26 00:12:31,2.3.7,,89852.0,21.0,,,26.0,https://pypi.org/project/nbdev,89852.0,,,,1.0,,1459.0,,,,,,,,,,,,,,,
27,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,25,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2022-10-16 15:45:59.000000,2022-09-21 04:28:58,509.0,486.0,670.0,3080.0,2022-08-16 07:13:52,0.13.1,,63582.0,38.0,,,111.0,https://pypi.org/project/jupyter-book,63582.0,,,,2.0,,1380.0,,,,,,,,,,,,,,,
28,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,Apache-2.0,2016-07-01 17:34:14.000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41,161.0,164.0,260.0,1024.0,2019-12-04 15:06:08,1.1.18,,11865.0,19.0,242.0,242.0,33.0,https://pypi.org/project/pixiedust,10712.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331,40389.0,1.0,,2157.0,,,,,,,,,,,,,,,
29,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,,2013-08-26 18:55:36.000,2022-09-20 06:51:36.000000,2022-03-28 15:25:07,385.0,143.0,286.0,3389.0,,,,10831.0,9.0,2023.0,2023.0,41.0,https://pypi.org/project/RISE,6723.0,https://anaconda.org/conda-forge/rise,2021-11-16 18:12:02.058,230103.0,2.0,,751.0,,,,,,,,,,,,,,,
