,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,license,npm_url,npm_monthly_downloads,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
235,SQLCell,True,"SQLCell is a magic function for the Jupyter Notebook that executes raw,..",https://github.com/tmthyjames/SQLCell,,magic,11,tmthyjames/SQLCell,sqlcell,,https://github.com/tmthyjames/SQLCell,2016-08-15 01:54:46.000000,2021-08-23 20:09:58.000000,2020-10-06 02:14:24.000000,9.0,60.0,24.0,144.0,310.0,,,,39.0,,1.0,1.0,14.0,https://pypi.org/project/sqlcell,39.0,,,,3.0,,,,,,,,MIT,,,,,,,,,
236,Jupyter DataTables,True,Jupyter Notebook extension leveraging pandas DataFrames..,https://github.com/CermakM/jupyter-datatables,,widgets,11,CermakM/jupyter-datatables,jupyter-datatables,,https://github.com/CermakM/jupyter-datatables,2019-03-28 20:55:12.000000,2019-12-11 12:10:31.000000,2019-12-11 12:10:07.000000,14.0,13.0,15.0,136.0,147.0,,,,332.0,,,,4.0,https://pypi.org/project/jupyter-datatables,332.0,,,,3.0,,,,,,,,MIT,,,,,,,,,
237,Material Darker Theme,True,The Material Darker theme for JupyterLab.,https://github.com/oriolmirosa/jupyterlab_materialdarker,,lab-themes,11,oriolmirosa/jupyterlab_materialdarker,,,https://github.com/oriolmirosa/jupyterlab_materialdarker,2018-03-07 23:24:13.000000,2021-08-31 15:09:16.000000,2021-08-31 15:09:09.000000,14.0,2.0,14.0,128.0,49.0,,,,766.0,,4.0,4.0,2.0,,,,,,3.0,,,,,,,@oriolmirosa/jupyterlab_materialdarker,BSD-3-Clause,https://www.npmjs.com/package/@oriolmirosa/jupyterlab_materialdarker,766.0,,,,,,,
238,xeus-sqlite,True,Jupyter kernel for SQLite.,https://github.com/jupyter-xeus/xeus-sqlite,,kernels,11,jupyter-xeus/xeus-sqlite,,,https://github.com/jupyter-xeus/xeus-sqlite,2020-03-11 11:24:36.000000,2021-10-06 10:03:52.000000,2021-10-06 10:03:19.000000,20.0,11.0,28.0,126.0,266.0,,,,,,,,12.0,,,,,,3.0,,,,,,,,BSD-3-Clause,,,,,,,,,
239,Horizon Theme,True,VSCode Horizon Theme port for JupyterLab.,https://github.com/mohirio/jupyterlab-horizon-theme,,lab-themes,11,mohirio/jupyterlab-horizon-theme,,,https://github.com/mohirio/jupyterlab-horizon-theme,2019-06-07 08:46:59.000000,2021-06-20 08:20:16.000000,2021-04-11 16:55:54.000000,1.0,1.0,4.0,45.0,25.0,,,,1950.0,,,,,,,,,,3.0,,,,,,,@mohirio/jupyterlab-horizon-theme,BSD-3-Clause,https://www.npmjs.com/package/@mohirio/jupyterlab-horizon-theme,1950.0,,,,,,,
240,YarnSpawner,True,Spawn JupyterHub single user notebook servers in Hadoop/YARN..,https://github.com/jupyterhub/yarnspawner,,hub-spawners,11,jupyterhub/yarnspawner,jupyterhub-yarnspawner,conda-forge/jupyterhub-yarnspawner,https://github.com/jupyterhub/yarnspawner,2018-12-18 19:31:03.000000,2021-11-17 00:47:27.479000,2019-07-16 16:58:16.000000,9.0,5.0,4.0,19.0,37.0,,,,780.0,4.0,,,2.0,https://pypi.org/project/jupyterhub-yarnspawner,75.0,https://anaconda.org/conda-forge/jupyterhub-yarnspawner,2021-11-17 00:47:27.479000,24705.0,3.0,,,,,,,,BSD-3-Clause,,,,,,,,,
241,Kernel Management,True,Experimental new kernel management framework for Jupyter.,https://github.com/takluyver/jupyter_kernel_mgmt,,notebook-tools,11,takluyver/jupyter_kernel_mgmt,jupyter-kernel-mgmt,,https://github.com/takluyver/jupyter_kernel_mgmt,2018-04-01 20:06:08.000000,2020-08-27 01:11:14.000000,2020-01-29 22:31:34.000000,7.0,10.0,14.0,13.0,1783.0,2020-01-15 19:12:57.000000,0.5.1,17.0,15.0,3.0,,,74.0,https://pypi.org/project/jupyter-kernel-mgmt,15.0,,,,3.0,,,,,,,,,,,,,,,,,
242,jupyterlab-flake8,True,Jupyterlab python linter for notebooks and text files..,https://github.com/mlshapiro/jupyterlab-flake8,,lab-extensions,10,mlshapiro/jupyterlab-flake8,,,https://github.com/mlshapiro/jupyterlab-flake8,2018-04-11 16:16:59.000000,2021-09-16 16:01:09.000000,2021-09-16 16:01:07.000000,9.0,4.0,33.0,103.0,,,,,271.0,,,,5.0,,,,,,3.0,,,,,,,jupyterlab-flake8,BSD-3-Clause,https://www.npmjs.com/package/jupyterlab-flake8,271.0,,,,,,,
243,jnotebook-reader,True,An awesome viewer to browse and render Jupyter..,https://github.com/line/jnotebook_reader,,notebook-sharing,10,line/jnotebook_reader,,,https://github.com/line/jnotebook_reader,2020-10-30 02:50:59.000000,2021-09-08 19:36:55.000000,2021-02-10 02:29:57.000000,14.0,1.0,1.0,91.0,12.0,2021-02-10 02:34:21.000000,1.0.2,,,3.0,,,4.0,,,,,,3.0,,,,,,,,Apache-2.0,,,,,,,,,
244,KnowledgeLab,True,KnowledgeRepo + JupyterLab.,https://github.com/timkpaine/knowledgelab,,lab-extensions,10,timkpaine/knowledgelab,knowledgelab,,https://github.com/timkpaine/knowledgelab,2017-10-18 01:10:58.000000,2021-12-12 17:40:41.000000,2021-12-12 17:40:40.000000,6.0,3.0,24.0,43.0,117.0,,,,13.0,1.0,2.0,2.0,3.0,https://pypi.org/project/knowledgelab,2.0,,,,3.0,,,,,,,knowledgelab,Apache-2.0,https://www.npmjs.com/package/knowledgelab,11.0,,,,,,,
245,Jupyter Helpers,True,A collection of helpers for Jupyter/IPython.,https://github.com/krassowski/jupyter-helpers,,notebook-tools,10,krassowski/jupyter-helpers,jupyter_helpers,,https://github.com/krassowski/jupyter-helpers,2019-03-17 22:11:35.000000,2021-07-31 11:45:58.000000,2021-07-31 11:45:57.000000,3.0,3.0,2.0,40.0,27.0,2021-02-10 16:36:22.000000,0.2.3-2,,,5.0,,,2.0,https://pypi.org/project/jupyter_helpers,,,,,3.0,,,,,,,,MIT,,,,,,,,,
246,perfume,True,Interactive performance benchmarking in Jupyter.,https://github.com/leifwalsh/perfume,,widgets,10,leifwalsh/perfume,perfume-bench,,https://github.com/leifwalsh/perfume,2017-07-10 14:34:03.000000,2021-12-27 17:48:07.000000,2020-10-31 19:46:42.000000,3.0,2.0,4.0,33.0,196.0,2018-05-20 05:09:14.000000,0.1.6,,14.0,1.0,,,3.0,https://pypi.org/project/perfume-bench,14.0,,,,3.0,,,,,,,,,,,,,,,,,
247,ipysigma,True,A custom Jupyter widget library to display graphs using sigma.js.,https://github.com/Yomguithereal/ipysigma,,widgets,10,Yomguithereal/ipysigma,ipysigma,,https://github.com/Yomguithereal/ipysigma,2018-06-25 20:03:21.000000,2021-05-07 11:44:55.000000,2020-06-30 13:07:41.000000,4.0,3.0,2.0,31.0,39.0,,,,22.0,,,,3.0,https://pypi.org/project/ipysigma,7.0,,,,3.0,,,,,,,ipysigma,MIT,https://www.npmjs.com/package/ipysigma,15.0,,,,,,,
248,FargateSpawner,True,Spawns JupyterHub single user servers in Docker containers running in AWS Fargate.,https://github.com/uktrade/fargatespawner,,hub-spawners,10,uktrade/fargatespawner,fargatespawner,,https://github.com/uktrade/fargatespawner,2018-09-12 14:06:22.000000,2020-06-28 13:26:04.000000,2020-06-28 13:25:54.000000,19.0,5.0,4.0,30.0,59.0,,,,112.0,,1.0,1.0,3.0,https://pypi.org/project/fargatespawner,112.0,,,,3.0,,,,,,,,MIT,,,,,,,,,
