,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
20,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,27,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2024-02-21 08:05:02.000000,2024-02-21 08:05:01,279.0,88.0,495.0,1371.0,2023-11-21 14:39:09,0.50.0,179.0,138586.0,56.0,2656.0,2656.0,94.0,https://pypi.org/project/jupyterlab-git,126876.0,https://anaconda.org/conda-forge/jupyterlab-git,2024-02-07 14:03:02.767,526788.0,1.0,,,,,,,,,,,,,,,,,
21,Perspective,True,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,26,finos/perspective,perspective-python,,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2024-03-21 13:40:22.000000,2024-03-21 13:22:28,949.0,89.0,637.0,7381.0,2024-03-12 18:26:49,2.9.0,2431.0,7349.0,12.0,115.0,115.0,93.0,https://pypi.org/project/perspective-python,6599.0,,,,1.0,,,,,,,,5959.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,447.0,,,,,,
22,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2023-05-24 15:56:22.000000,2023-05-24 15:56:22,877.0,78.0,81.0,7306.0,2019-07-01 16:35:20,1.0.0,,268164.0,4.0,224.0,224.0,31.0,https://pypi.org/project/facets-overview,268164.0,,,,2.0,,,,,,,,277.0,,,,,,,,,
23,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,26,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42.000,2024-03-20 15:58:56.000000,2024-03-20 15:58:53,479.0,285.0,427.0,5154.0,2023-10-31 09:04:25,0.5.5,1053.0,81332.0,70.0,10898.0,10898.0,68.0,https://pypi.org/project/voila,73419.0,https://anaconda.org/conda-forge/voila,2023-10-31 12:26:37.734,322185.0,2.0,,,,,,,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,207.0,,,,,,
24,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,26,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-03-20 10:11:34.000000,2024-02-08 15:35:20,907.0,679.0,1324.0,3025.0,2024-02-22 16:47:17,8.1.2,,17241359.0,53.0,3.0,3.0,212.0,https://pypi.org/project/ipywidgets,16852547.0,https://anaconda.org/conda-forge/ipywidgets,2024-02-08 21:24:52.939,12933304.0,2.0,,,,,,-8.0,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,80877.0,,,,,,
25,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,26,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2024-03-20 19:44:49.000000,2023-08-11 17:18:48,236.0,46.0,29.0,945.0,2022-04-01 20:13:44,0.4.2,99.0,162658.0,11.0,3704.0,3704.0,10.0,https://pypi.org/project/jupyter-dash,162656.0,,,,2.0,,,,,,,,162.0,,,,,,,,,
26,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,25,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2024-03-20 00:10:44.000000,2024-03-18 20:29:12,2817.0,8.0,868.0,8146.0,,,,869904.0,,21.0,21.0,244.0,,,,,,1.0,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2023-10-20 20:03:34.298948,442.0,90470107.0,,,,,,,,,,,,
27,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,,2014-06-12 23:22:10.000,2024-03-21 10:49:10.847312,2024-03-21 10:43:32,1912.0,164.0,2200.0,7875.0,,,,222967.0,39.0,2765.0,2765.0,357.0,https://pypi.org/project/jupyterhub,155123.0,https://anaconda.org/conda-forge/jupyterhub,2024-03-20 13:30:07.307,1054305.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-03-21 10:49:10.847312,333.0,5134336.0,,,,,,,,,,,,
28,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2023-12-30 16:09:02.000000,2023-12-30 16:09:02,537.0,165.0,1522.0,6142.0,2021-01-26 05:18:38,0.28.0,1495540.0,16913.0,66.0,3.0,3.0,180.0,https://pypi.org/project/nteract_on_jupyter,1003.0,,,,1.0,,,,,,,,10501.0,,,,,,,,,
29,Contrib NBextensions,True,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,25,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,2013-07-13 17:05:16.000,2024-03-21 14:05:18.000000,2022-12-21 19:56:24,787.0,344.0,462.0,5160.0,2022-11-15 17:24:23,0.7.0,,468018.0,2.0,20.0,20.0,135.0,https://pypi.org/project/jupyter_contrib_nbextensions,468018.0,,,,1.0,,,,,,,,2660.0,,,,,,,,,
