,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
106,JupyterLab Latex,True,JupyterLab extension for live editing of LaTeX documents.,https://github.com/jupyterlab/jupyterlab-latex,,lab-renderer,18,jupyterlab/jupyterlab-latex,jupyterlab_latex,,https://github.com/jupyterlab/jupyterlab-latex,BSD-3-Clause,2017-10-24 02:12:37.000,2022-07-20 07:52:00.000000,2022-04-12 21:28:47,58.0,27.0,55.0,529.0,430.0,2021-09-15 15:34:35,3.1.0,,5456.0,1.0,2.0,2.0,21.0,https://pypi.org/project/jupyterlab_latex,4263.0,,,,2.0,@jupyterlab/latex,https://www.npmjs.com/package/@jupyterlab/latex,1193.0,,,,,,,,,,,,,
107,nb_conda_kernels,True,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/Anaconda-Platform/nb_conda_kernels,,kernels,18,Anaconda-Platform/nb_conda_kernels,,conda-forge/nb_conda_kernels,https://github.com/Anaconda-Platform/nb_conda_kernels,BSD-3-Clause,2015-12-10 16:11:42.000,2022-02-14 03:58:59.101000,2020-11-30 15:55:07,55.0,35.0,98.0,465.0,335.0,2020-09-05 22:35:32,2.3.0,,9237.0,11.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda_kernels,2022-02-14 03:58:59.101,683586.0,2.0,,,,,,,,,,,,,,,,
108,JupyterLab GitHub,True,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,18,jupyterlab/jupyterlab-github,jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,BSD-3-Clause,2017-10-15 17:18:11.000,2022-07-20 11:12:35.000000,2021-12-10 09:26:11,88.0,21.0,36.0,333.0,228.0,2021-11-27 17:02:34,3.0.1,,2578.0,6.0,2.0,2.0,15.0,https://pypi.org/project/jupyterlab-github,1070.0,,,,2.0,@jupyterlab/github,https://www.npmjs.com/package/@jupyterlab/github,1508.0,,,,,,,,,,,,,
109,vega,True,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,18,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,BSD-3-Clause,2015-08-04 03:22:47.000,2022-08-01 02:43:25.000000,2022-08-01 02:43:25,55.0,13.0,82.0,331.0,593.0,,,,13132.0,27.0,,,11.0,https://pypi.org/project/vega,6420.0,https://anaconda.org/conda-forge/vega,2022-02-10 13:26:24.004,496709.0,3.0,,,,,,,,,,,,,,,,
110,JupyterLab Templates,True,Support for jupyter notebook templates in jupyterlab.,https://github.com/jpmorganchase/jupyterlab_templates,,lab-extensions,18,jpmorganchase/jupyterlab_templates,jupyterlab_templates,,https://github.com/jpmorganchase/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2022-07-20 05:13:13.000000,2022-04-09 13:35:21,50.0,8.0,70.0,307.0,,2021-03-28 03:19:03,0.3.1,,10218.0,13.0,4.0,4.0,14.0,https://pypi.org/project/jupyterlab_templates,7103.0,,,,2.0,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,3115.0,,,,,,,,,,,,,
111,treon,True,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,18,ReviewNB/treon,treon,,https://github.com/ReviewNB/treon,MIT,2019-03-29 15:02:35.000,2022-08-04 11:15:43.000000,2022-08-04 11:15:04,21.0,3.0,10.0,284.0,66.0,,,,7647.0,,55.0,55.0,5.0,https://pypi.org/project/treon,7647.0,,,,3.0,,,,,,,,,,,,,,,,
112,dask-labextension,True,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,18,dask/dask-labextension,dask-labextension,conda-forge/dask-labextension,https://github.com/dask/dask-labextension,BSD-3-Clause,2016-09-26 19:01:37.000,2022-07-21 06:30:27.000000,2022-06-21 23:17:54,51.0,37.0,93.0,268.0,,2022-06-21 23:30:24,5.3.0,,23852.0,17.0,,,19.0,https://pypi.org/project/dask-labextension,6034.0,https://anaconda.org/conda-forge/dask-labextension,2022-06-22 14:17:08.997,596253.0,2.0,dask-labextension,https://www.npmjs.com/package/dask-labextension,2128.0,,,,,,,,,,,,,
113,scrapbook,True,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,18,nteract/scrapbook,nteract-scrapbook,,https://github.com/nteract/scrapbook,BSD-3-Clause,2018-10-22 04:17:04.000,2022-04-13 16:57:46.000000,2022-04-13 16:57:42,26.0,23.0,25.0,248.0,,,,,65237.0,,147.0,147.0,11.0,https://pypi.org/project/nteract-scrapbook,65237.0,,,,3.0,,,,,,,,,,,,,,,,
114,OCaml Kernel,True,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,18,akabe/ocaml-jupyter,,,https://github.com/akabe/ocaml-jupyter,MIT,2017-07-14 14:15:05.000,2022-04-10 08:21:20.000000,2022-04-10 07:57:57,28.0,3.0,68.0,226.0,372.0,2022-04-10 08:38:48,2.8.0,69475.0,1138.0,32.0,,,18.0,,,,,,2.0,,,,,,,,,,,,,,,,
115,gator,True,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,18,mamba-org/gator,,conda-forge/mamba_gator,https://github.com/mamba-org/gator,BSD-3-Clause,2018-08-02 05:15:23.000,2022-07-26 15:26:35.721000,2022-07-25 12:51:22,23.0,15.0,38.0,224.0,614.0,2022-07-25 13:09:54,npm@3.1.0,2.0,993.0,29.0,1.0,1.0,25.0,,,https://anaconda.org/conda-forge/mamba_gator,2022-07-26 15:26:35.721,17556.0,2.0,@mamba-org/gator-lab,https://www.npmjs.com/package/@mamba-org/gator-lab,157.0,,,,,,,,,,,,,
