,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
89,treon,True,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,19,ReviewNB/treon,treon,,https://github.com/ReviewNB/treon,MIT,2019-03-29 15:02:35.000,2022-08-04 11:15:43.000000,2022-08-04 11:15:04,21.0,3.0,10.0,283.0,,,,8821.0,,57.0,57.0,5.0,https://pypi.org/project/treon,8821.0,,,,3.0,,66.0,,,,,,,,,,,,,,,
90,JupyterLab System Monitor,True,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,19,jtpio/jupyterlab-system-monitor,,,https://github.com/jtpio/jupyterlab-system-monitor,BSD-3-Clause,2019-07-13 12:31:51.000,2022-08-29 16:37:25.000000,2022-02-15 08:27:46,29.0,22.0,21.0,251.0,2021-02-04 22:39:49,0.8.0,,3405.0,2.0,57.0,57.0,7.0,,,,,,1.0,,,jupyterlab-system-monitor,https://www.npmjs.com/package/jupyterlab-system-monitor,3405.0,,,,,,,,,,,,
91,jupyter-console,True,Jupyter Terminal Console.,https://github.com/jupyter/jupyter_console,,others,19,jupyter/jupyter_console,jupyter-console,,https://github.com/jupyter/jupyter_console,,2015-04-09 06:58:55.000,2022-10-03 20:22:08.000000,2022-06-22 16:00:22,132.0,56.0,88.0,202.0,2022-06-22 16:01:33,6.4.4,64.0,3234023.0,4.0,,,59.0,https://pypi.org/project/jupyter-console,3234014.0,,,,3.0,,,,,,,,,,,,,,,,,
92,bookstore,True,Notebook storage and publishing workflows for the masses.,https://github.com/nteract/bookstore,,notebook-sharing,19,nteract/bookstore,bookstore,,https://github.com/nteract/bookstore,BSD-3-Clause,2018-10-16 18:54:00.000,2021-08-26 18:26:16.000000,2019-12-09 16:52:07,19.0,34.0,39.0,185.0,2019-12-03 17:50:40,2.5.0,,23101.0,6.0,11.0,11.0,7.0,https://pypi.org/project/bookstore,23101.0,,,,3.0,,619.0,,,,,,,,,,,,,,,
93,jupyter-packaging,True,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,19,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,BSD-3-Clause,2017-03-04 19:38:49.000,2022-09-20 00:27:15.000000,2022-09-20 00:27:14,46.0,9.0,30.0,59.0,2022-08-25 15:31:47,0.12.3,35.0,351149.0,32.0,,,30.0,https://pypi.org/project/jupyter-packaging,339851.0,https://anaconda.org/conda-forge/jupyter-packaging,2022-08-25 23:51:15.963,327628.0,3.0,,,,,,,,,,,,,,,,,
94,ipydagred3,True,ipywidgets library for drawing directed acyclic graphs in..,https://github.com/timkpaine/ipydagred3,,widgets,19,timkpaine/ipydagred3,ipydagred3,,https://github.com/timkpaine/ipydagred3,Apache-2.0,2020-02-29 23:01:15.000,2022-09-23 17:10:25.000000,2022-09-23 17:10:08,5.0,3.0,16.0,40.0,2022-09-23 17:10:56,0.3.7,,78939.0,16.0,12.0,12.0,3.0,https://pypi.org/project/ipydagred3,629.0,,,,3.0,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,78310.0,,,,,,,,,,,,
95,ML Workspace,True,All-in-one web-based IDE specialized for machine learning and..,https://github.com/ml-tooling/ml-workspace,,notebook-environments,18,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,Apache-2.0,2019-05-27 16:55:15.000,2022-02-03 21:26:52.000000,2021-11-22 20:42:15,335.0,8.0,80.0,2765.0,2021-07-13 22:12:59,0.13.2,,12401.0,4.0,,,11.0,,,,,,3.0,,,,,,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-07-13 16:32:15.225256,24.0,508480.0,,,,,,,
96,IJulia.jl,True,Julia kernel for Jupyter.,https://github.com/JuliaLang/IJulia.jl,,kernels,18,JuliaLang/IJulia.jl,,,https://github.com/JuliaLang/IJulia.jl,MIT,2013-03-05 18:20:21.000,2022-09-02 11:57:07.000000,2022-09-02 11:55:02,383.0,105.0,689.0,2513.0,2022-04-11 14:26:39,1.23.3,,,42.0,,,102.0,,,,,,2.0,,706.0,,,,,,,,,,,,,,,
97,IHaskell,True,A Haskell kernel for IPython.,https://github.com/IHaskell/IHaskell,,kernels,18,gibiansky/IHaskell,,,https://github.com/IHaskell/IHaskell,MIT,2013-08-26 07:16:09.000,2022-09-25 00:12:39.000000,2022-09-25 00:12:39,242.0,36.0,710.0,2410.0,2015-03-26 05:06:25,0.6,,22.0,1.0,,,111.0,,,,,,2.0,IHaskell/IHaskell,2140.0,ihaskell_jupyterlab,https://www.npmjs.com/package/ihaskell_jupyterlab,22.0,,,,,,,,,,,,
98,ipyparallel,True,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,18,ipython/ipyparallel,ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,,2015-04-09 07:43:55.000,2022-10-04 05:10:57.000000,2022-10-04 05:10:53,882.0,53.0,283.0,2276.0,,,,187597.0,24.0,,,111.0,https://pypi.org/project/ipyparallel,178689.0,https://anaconda.org/conda-forge/ipyparallel,2022-06-21 14:24:53.709,694870.0,3.0,,,,,,,,,,,,,,,,,
99,BinderHub,True,"Run your code in the cloud, with technology so advanced, it feels..",https://github.com/jupyterhub/binderhub,,notebook-sharing,18,jupyterhub/binderhub,,,https://github.com/jupyterhub/binderhub,BSD-3-Clause,2017-04-26 00:28:26.000,2022-10-03 11:47:57.000000,2022-10-03 11:47:47,326.0,183.0,449.0,2194.0,,,,,1.0,6.0,6.0,84.0,,,,,,3.0,,2755.0,,,,,,,,,,,,binderhub,,,
