,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
163,JupyterLab Tensorboard,True,Tensorboard extension for jupyterlab.,https://github.com/chaoleili/jupyterlab_tensorboard,,lab-extensions,15,,chaoleili/jupyterlab_tensorboard,,,https://github.com/chaoleili/jupyterlab_tensorboard,2018-08-14 12:36:26.000000,2021-08-04 02:29:34.000000,2021-02-24 06:31:50.000000,26.0,17.0,9.0,271.0,31.0,,,,6174.0,,2.0,2.0,6.0,,,,,,,,,,3.0,,MIT,jupyterlab_tensorboard,https://www.npmjs.com/package/jupyterlab_tensorboard,6174.0,,,,,,,
164,treon,True,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,15,treon,ReviewNB/treon,,,https://github.com/ReviewNB/treon,2019-03-29 15:02:35.000000,2020-10-08 09:00:07.000000,2020-10-08 09:00:06.000000,18.0,2.0,9.0,267.0,56.0,,,,2602.0,,34.0,34.0,4.0,https://pypi.org/project/treon,2602.0,,,,,,,,3.0,,MIT,,,,,,,,,,
165,blackcellmagic,True,IPython magic command to format python code in cell using..,https://github.com/csurfer/blackcellmagic,,magic,15,blackcellmagic,csurfer/blackcellmagic,,,https://github.com/csurfer/blackcellmagic,2018-04-25 14:27:26.000000,2020-08-07 13:12:52.000000,2019-04-11 00:12:09.000000,8.0,3.0,5.0,265.0,16.0,,,,3993.0,,113.0,113.0,3.0,https://pypi.org/project/blackcellmagic,3993.0,,,,,,,,2.0,,MIT,,,,,,,,,,
166,LFortran,True,Official mirror of https://gitlab.com/lfortran/lfortran. Please submit..,https://github.com/lfortran/lfortran,,kernels,15,lfortran,lfortran/lfortran,conda-forge/lfortran,,https://github.com/lfortran/lfortran,2019-03-24 13:22:20.000000,2021-08-04 16:55:34.000000,2021-08-04 16:55:17.000000,13.0,,,261.0,6096.0,,,,1121.0,8.0,,,16.0,https://pypi.org/project/lfortran,76.0,https://anaconda.org/conda-forge/lfortran,2021-07-14 03:56:07.565000,26138.0,,,,,3.0,,,,,,,,,,,,
167,gpu-jupyter,True,Leverage the flexibility of Jupyterlab through the power of your..,https://github.com/iot-salzburg/gpu-jupyter,,notebook-environments,15,,iot-salzburg/gpu-jupyter,,,https://github.com/iot-salzburg/gpu-jupyter,2019-11-12 20:10:23.000000,2021-08-04 10:07:47.000000,2021-04-26 14:44:47.000000,83.0,4.0,39.0,234.0,204.0,2021-04-08 06:54:08.000000,1.4_cuda-11.0_ubuntu-18.04,,,5.0,,,9.0,,,,,,,,,,3.0,,Apache-2.0,,,,,,,,,,
168,JupyterLab Chart Editor,True,JupyterLab extension for Plotly's react-chart-editor.,https://github.com/plotly/jupyterlab-chart-editor,,lab-renderer,15,,plotly/jupyterlab-chart-editor,,,https://github.com/plotly/jupyterlab-chart-editor,2018-01-23 18:18:38.000000,2021-05-31 03:02:31.000000,2021-03-10 20:56:11.000000,19.0,12.0,19.0,199.0,71.0,2021-03-10 20:57:44.000000,4.14.3,,2108.0,6.0,3.0,3.0,5.0,,,,,,,,,,3.0,,,jupyterlab-chart-editor,https://www.npmjs.com/package/jupyterlab-chart-editor,2108.0,,,,,,,
169,HTTP-over-WebSocket,True,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,15,jupyter_http_over_ws,googlecolab/jupyter_http_over_ws,,,https://github.com/googlecolab/jupyter_http_over_ws,2018-03-26 22:52:45.000000,2021-01-08 04:19:39.000000,2021-01-08 04:19:33.000000,30.0,18.0,7.0,183.0,29.0,,,,13499.0,,,,3.0,https://pypi.org/project/jupyter_http_over_ws,13499.0,,,,,,,,3.0,,Apache-2.0,,,,,,,,,,
170,Jupyter Bokeh,True,An extension for rendering Bokeh content in JupyterLab notebooks.,https://github.com/bokeh/jupyter_bokeh,,lab-extensions,15,jupyter-bokeh,bokeh/jupyter_bokeh,,,https://github.com/bokeh/jupyter_bokeh,2017-08-14 23:01:29.000000,2021-06-02 19:59:06.000000,2021-06-02 19:59:06.000000,31.0,6.0,70.0,177.0,,,,,40475.0,,,,15.0,https://pypi.org/project/jupyter-bokeh,10947.0,,,,,,,,3.0,,BSD-3-Clause,@bokeh/jupyter_bokeh,https://www.npmjs.com/package/@bokeh/jupyter_bokeh,29528.0,,,,,,,
171,nbmake-action,True,GitHub Action for testing notebooks.,https://github.com/treebeardtech/nbmake-action,,notebook-tools,15,,treebeardtech/nbmake-action,,,https://github.com/treebeardtech/nbmake-action,2020-02-06 15:49:32.000000,2021-04-09 14:14:10.000000,2021-04-09 14:14:02.000000,6.0,,24.0,152.0,731.0,2020-12-11 15:26:11.000000,0.2.1,,,5.0,60.0,60.0,2.0,,,,,,,,,,3.0,,Apache-2.0,,,,,,,,,,
172,JupyterLab Spreadsheet,True,"JupyterLab plugin for viewing spreadsheets, such as..",https://github.com/quigleyj97/jupyterlab-spreadsheet,,lab-renderer,15,,quigleyj97/jupyterlab-spreadsheet,,,https://github.com/quigleyj97/jupyterlab-spreadsheet,2018-10-13 22:51:03.000000,2021-07-24 22:38:34.000000,2021-07-17 23:40:19.000000,9.0,6.0,16.0,119.0,,2021-07-17 23:45:44.000000,0.4.1,,5590.0,5.0,,,4.0,,,,,,,,,,3.0,,BSD-3-Clause,jupyterlab-spreadsheet,https://www.npmjs.com/package/jupyterlab-spreadsheet,5590.0,,,,,,,
173,nb_conda,True,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,15,,Anaconda-Platform/nb_conda,conda-forge/nb_conda,,https://github.com/Anaconda-Platform/nb_conda,2015-12-09 23:12:58.000000,2021-02-08 11:04:25.512000,2020-09-11 21:06:00.000000,25.0,33.0,28.0,116.0,158.0,,,,4685.0,4.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda,2021-02-08 11:04:25.512000,285833.0,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
174,jupyterlab-celltags,True,A JupyterLab extension for notebook cell tags.,https://github.com/jupyterlab/jupyterlab-celltags,,lab-extensions,15,,jupyterlab/jupyterlab-celltags,,,https://github.com/jupyterlab/jupyterlab-celltags,2018-06-18 22:02:23.000000,2020-04-29 18:27:31.000000,2020-04-29 18:26:29.000000,24.0,11.0,7.0,110.0,441.0,,,,,,268.0,268.0,10.0,,,,,,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
