,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
124,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,18,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,BSD-3-Clause,2019-01-21 04:39:42.000,2023-06-06 08:38:20.000000,2022-07-20 12:02:54,29.0,9.0,16.0,191.0,,,,334.0,,1286.0,1286.0,7.0,,,,,,1.0,,113.0,,,,,,,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,334.0,,,,,,
125,Spylon Kernel,True,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,18,Valassis-Digital-Media/spylon-kernel,spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,,2016-11-21 02:23:14.000,2023-06-16 13:20:41.310000,2018-09-20 15:43:57,31.0,20.0,20.0,179.0,2017-03-05 04:26:44,0.2.0,,4756.0,8.0,129.0,129.0,6.0,https://pypi.org/project/spylon-kernel,3194.0,https://anaconda.org/conda-forge/spylon-kernel,2023-06-16 13:20:41.310,124999.0,2.0,vericast/spylon-kernel,188.0,,,,,,,,,,,,,,,
126,Rsession Proxy,True,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,18,jupyterhub/jupyter-rsession-proxy,jupyter-rsession-proxy,,https://github.com/jupyterhub/jupyter-rsession-proxy,BSD-3-Clause,2016-12-09 06:26:18.000,2023-06-23 00:49:02.000000,2023-06-23 00:48:01,75.0,29.0,48.0,109.0,,,,8025.0,,45.0,45.0,21.0,https://pypi.org/project/jupyter-rsession-proxy,8025.0,,,,3.0,,236.0,,,,,,,,,,,,,,,
127,jupyter-archive,True,"A Jupyter/Jupyterlab extension to make, download and extract..",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,18,jupyterlab-contrib/jupyter-archive,,conda-forge/jupyter-archive,https://github.com/jupyterlab-contrib/jupyter-archive,BSD-3-Clause,2019-07-25 17:15:19.000,2023-10-08 08:16:26.000000,2023-10-08 08:16:25,12.0,2.0,36.0,66.0,2023-08-15 15:28:38,3.4.0,3269.0,1480.0,28.0,94.0,94.0,10.0,,,https://anaconda.org/conda-forge/jupyter-archive,2023-08-16 14:54:33.988,55071.0,3.0,,,,,,,,,,,,,,,,,
128,jupyter-packaging,True,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,18,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,BSD-3-Clause,2017-03-04 19:38:49.000,2023-10-03 11:40:54.000000,2023-04-15 13:12:28,46.0,11.0,30.0,62.0,2022-08-25 15:31:47,0.12.3,61.0,291823.0,32.0,,,30.0,https://pypi.org/project/jupyter-packaging,278645.0,https://anaconda.org/conda-forge/jupyter-packaging,2023-06-16 19:19:02.319,540293.0,3.0,,,,,,,,,,,,,,,,,
129,LTI Authenticator,True,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,18,jupyterhub/ltiauthenticator,jupyterhub-ltiauthenticator,,https://github.com/jupyterhub/ltiauthenticator,BSD-3-Clause,2017-12-15 02:54:15.000,2023-10-03 10:43:22.000000,2023-10-03 10:43:21,44.0,2.0,43.0,61.0,2023-03-31 10:44:15,1.5.0,,2003.0,8.0,97.0,97.0,18.0,https://pypi.org/project/jupyterhub-ltiauthenticator,2003.0,,,,2.0,,,,,,,,,,,,,,,,,
130,IHaskell,True,A Haskell kernel for IPython.,https://github.com/IHaskell/IHaskell,,kernels,17,gibiansky/IHaskell,,,https://github.com/IHaskell/IHaskell,MIT,2013-08-26 07:16:09.000,2023-10-02 05:21:49.000000,2023-10-02 05:21:48,249.0,47.0,726.0,2494.0,2015-03-26 05:06:25,0.6,,15.0,1.0,,,112.0,,,,,,3.0,IHaskell/IHaskell,2200.0,,,,,,,ihaskell_jupyterlab,https://www.npmjs.com/package/ihaskell_jupyterlab,15.0,,,,,,
131,pyforest,True,pyforest - feel the bliss of automated imports.,https://github.com/8080labs/pyforest,,jupyter-extensions,17,8080labs/pyforest,pyforest,,https://github.com/8080labs/pyforest,MIT,2019-08-12 07:35:46.000,2023-06-07 10:33:18.000000,2021-06-14 15:04:41,194.0,13.0,14.0,1056.0,2019-09-02 14:01:33,0.1.2,,5322.0,1.0,,,13.0,https://pypi.org/project/pyforest,5322.0,,,,3.0,,196.0,,,,,,,,,,,,,,,
132,IJava,True,A Jupyter kernel for executing Java code.,https://github.com/SpencerPark/IJava,,kernels,17,SpencerPark/IJava,,,https://github.com/SpencerPark/IJava,MIT,2017-10-08 04:42:46.000,2023-05-18 06:09:30.000000,2019-12-08 22:22:20,182.0,75.0,58.0,982.0,2019-05-06 03:28:50,1.3.0,138174.0,2158.0,5.0,,,4.0,,,,,,3.0,,90.0,,,,,,,,,,,,,,,
133,commuter,True,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,17,nteract/commuter,,,https://github.com/nteract/commuter,BSD-3-Clause,2017-01-03 22:23:32.000,2023-09-08 15:20:37.000000,2022-04-28 20:49:58,65.0,52.0,39.0,471.0,,,,1304.0,,2.0,2.0,27.0,,,,,,3.0,,640.0,,,,,,,@nteract/commuter,https://www.npmjs.com/package/@nteract/commuter,1304.0,,,,,,
